OVD_t1,	OVD_t2,	OVD_sum,	pay_normal,	prod_code,	prod_limit,	update_date,	new_balance,	highest_balance,	report_date
0,	0,	0,	3,	10,	37400.0,	03/12/2016,	8425.2,	7520.0,	25/04/2016
0,	0,	0,	3,	10,	88000.0,	02/12/2016,	3196.8,	6193.0,	15/04/2016
0,	0,	0,	3,	10,	16500.0,	01/12/2016,	3487.2,	3406.0,	15/02/2016
0,	0,	0,	2,	10,	108900.0,	02/11/2016,	6094.8,	101068.0,	22/03/2016
0,	0,	0,	2,	10,	105600.0,	03/10/2016,	1.2,	3766.0,	04/12/2016
0,	0,	0,	3,	10,	104500.0,	02/09/2016,	92110.8,	77258.0,	05/04/2016
0,	0,	0,	3,	10,	58300.0,	02/09/2016,	13995.6,	53414.0,	20/04/2016
0,	0,	0,	1,	10,	85800.0,	02/08/2016,	38505.6,	32587.0,	26/02/2016
0,	0,	0,	2,	10,	127600.0,	03/07/2016,	46910.4,	49591.0,	16/04/2016
0,	0,	0,	3,	10,	70400.0,	02/07/2016,	39973.2,	34710.0,	05/07/2016
0,	0,	0,	3,	10,	82500.0,	02/06/2016,	24252.0,	50050.0,	04/09/2016
0,	0,	0,	2,	10,	44000.0,	02/06/2016,	47262.0,	39884.0,	28/02/2016
0,	0,	0,	2,	10,	33000.0,	02/06/2016,	31924.8,	27104.0,	26/02/2016
0,	0,	0,	3,	10,	22000.0,	01/06/2016,	21976.8,	19800.0,	21/02/2016
0,	0,	0,	2,	10,	55000.0,	04/05/2016,	4444.8,	47225.0,	15/05/2016
0,	0,	0,	2,	10,	66000.0,	03/05/2016,	14347.2,	16139.0,	04/09/2016
0,	0,	0,	3,	10,	33000.0,	03/05/2016,	4760.4,	4467.0,	15/04/2016
0,	0,	0,	4,	10,	106700.0,	01/05/2016,	104354.4,	98609.0,	17/04/2016
0,	0,	0,	5,	10,	79200.0,	01/05/2016,	80415.6,	69991.0,	26/04/2016
0,	0,	0,	4,	10,	49500.0,	01/05/2016,	33427.2,	40557.0,	15/04/2016
0,	0,	0,	3,	10,	44000.0,	01/05/2016,	16880.4,	14566.0,	25/02/2016
0,	0,	0,	2,	10,	88000.0,	17/04/2016,	2805.6,	5826.0,	20/05/2016
0,	0,	0,	3,	10,	60500.0,	03/04/2016,	24163.2,	24036.0,	24/04/2016
0,	0,	0,	1,	10,	55000.0,	03/04/2016,	2302.8,	3719.0,	20/03/2016
0,	0,	0,	5,	10,	118800.0,	01/04/2016,	145.2,	1068.0,	03/08/2016
0,	0,	0,	5,	10,	93500.0,	01/04/2016,	-1.2,	85473.0,	02/12/2016
0,	0,	0,	3,	10,	82500.0,	30/03/2016,	0.0,	44452.0,	06/12/2016
0,	0,	0,	2,	10,	201300.0,	28/03/2016,	2649.6,	10223.0,	14/05/2016
0,	0,	0,	2,	10,	283800.0,	19/03/2016,	130521.6,	111325.0,	05/07/2016
