prod_code,	prod_limit,	new_balance,	highest_balance
10,	37400.0,	8425.2,	7520.0
10,	88000.0,	3196.8,	6193.0
10,	16500.0,	3487.2,	3406.0
10,	108900.0,	6094.8,	101068.0
10,	105600.0,	1.2,	3766.0
10,	104500.0,	92110.8,	77258.0
10,	58300.0,	13995.6,	53414.0
10,	85800.0,	38505.6,	32587.0
10,	127600.0,	46910.4,	49591.0
10,	70400.0,	39973.2,	34710.0
10,	82500.0,	24252.0,	50050.0
10,	44000.0,	47262.0,	39884.0
10,	33000.0,	31924.8,	27104.0
10,	22000.0,	21976.8,	19800.0
10,	55000.0,	4444.8,	47225.0
10,	66000.0,	14347.2,	16139.0
10,	33000.0,	4760.4,	4467.0
10,	106700.0,	104354.4,	98609.0
10,	79200.0,	80415.6,	69991.0
10,	49500.0,	33427.2,	40557.0
10,	44000.0,	16880.4,	14566.0
10,	88000.0,	2805.6,	5826.0
10,	60500.0,	24163.2,	24036.0
10,	55000.0,	2302.8,	3719.0
10,	118800.0,	145.2,	1068.0
10,	93500.0,	-1.2,	85473.0
10,	82500.0,	0.0,	44452.0
10,	201300.0,	2649.6,	10223.0
10,	283800.0,	130521.6,	111325.0
10,	118800.0,	12508.8,	12699.0
10,	88000.0,	10436.4,	9197.0
10,	68200.0,	55249.2,	46540.0
10,	55000.0,	9046.8,	8039.0
10,	69300.0,	35757.6,	32018.0
10,	49500.0,	11551.2,	10126.0
10,	48400.0,	11256.0,	19831.0
10,	110000.0,	114994.8,	100612.0
10,	66000.0,	33946.8,	28789.0
10,	45100.0,	53857.2,	45381.0
10,	151800.0,	-338.4,	13718.0
10,	115500.0,	52339.2,	47535.0
10,	40700.0,	17773.2,	16310.0
10,	105600.0,	12062.4,	14742.0
10,	99000.0,	11924.4,	10437.0
10,	383900.0,	-51.6,	2456.0
10,	68200.0,	11995.2,	10621.0
10,	174900.0,	153999.6,	128833.0
10,	27500.0,	1435.2,	1696.0
10,	111100.0,	5425.2,	12021.0
10,	42900.0,	43974.0,	38946.0
10,	113300.0,	7938.0,	7115.0
10,	16500.0,	14221.2,	13114.0
10,	106700.0,	26734.8,	22779.0
10,	178200.0,	3492.0,	7530.0
10,	44000.0,	47858.4,	43505.0
10,	69300.0,	32684.4,	42326.0
10,	194700.0,	-25.2,	8228.0
10,	61600.0,	26078.4,	49221.0
10,	55000.0,	57937.2,	49528.0
10,	103400.0,	12856.8,	28555.0
10,	55000.0,	14720.4,	40919.0
10,	24200.0,	6372.0,	5810.0
10,	63800.0,	-3667.2,	7579.0
10,	64900.0,	32218.8,	59369.0
10,	88000.0,	35060.4,	29717.0
10,	59400.0,	9432.0,	18532.0
10,	193600.0,	69610.8,	62929.0
10,	117700.0,	15718.8,	13598.0
10,	88000.0,	64660.8,	81133.0
10,	55000.0,	3652.8,	16071.0
10,	22000.0,	9480.0,	17204.0
10,	69300.0,	3676.8,	4045.0
10,	110000.0,	18681.6,	16067.0
10,	77000.0,	51295.2,	69058.0
10,	22000.0,	33.6,	13334.0
10,	105600.0,	4492.8,	4243.0
10,	215600.0,	49579.2,	55658.0
10,	143000.0,	117872.4,	98727.0
10,	46200.0,	18438.0,	15865.0
10,	22000.0,	6144.0,	6712.0
10,	172700.0,	13507.2,	37412.0
10,	111100.0,	103656.0,	86880.0
10,	105600.0,	122484.0,	102569.0
10,	72600.0,	85938.0,	72114.0
10,	44000.0,	7956.0,	34990.0
10,	57200.0,	41892.0,	35410.0
10,	115500.0,	5956.8,	6690.0
10,	105600.0,	104.4,	81060.0
10,	101200.0,	65625.6,	94867.0
10,	78100.0,	0.0,	1060.0
10,	36300.0,	23988.0,	20490.0
10,	22000.0,	8682.0,	11134.0
10,	82500.0,	38584.8,	43492.0
10,	97350.0,	75566.4,	64008.0
10,	110000.0,	684.0,	1436.0
10,	82500.0,	73298.4,	61582.0
10,	20680.0,	1962.0,	12852.0
10,	106700.0,	41917.2,	35430.0
10,	88000.0,	48170.4,	65851.0
10,	88000.0,	4034.4,	76409.0
10,	119900.0,	11221.2,	50754.0
10,	88000.0,	8601.6,	75926.0
10,	88000.0,	452.4,	2288.0
10,	33000.0,	0.0,	781.0
10,	40700.0,	8257.2,	13119.0
10,	20900.0,	1146.0,	3523.0
10,	110000.0,	18552.0,	15960.0
10,	35200.0,	36152.4,	30627.0
10,	223300.0,	124366.8,	104139.0
10,	94600.0,	11041.2,	11435.0
10,	88000.0,	3859.2,	21100.0
10,	36300.0,	4006.8,	5441.0
10,	97900.0,	129.6,	1381.0
10,	46200.0,	46047.6,	42271.0
10,	24200.0,	0.0,	15664.0
10,	102300.0,	7855.2,	13676.0
10,	67100.0,	29358.0,	24965.0
10,	44000.0,	0.0,	3869.0
10,	42900.0,	18499.2,	38338.0
10,	99000.0,	22237.2,	57489.0
10,	55000.0,	11799.6,	29586.0
10,	55000.0,	4646.4,	26327.0
10,	168300.0,	11156.4,	23305.0
10,	55000.0,	41737.2,	51205.0
10,	39600.0,	-1.2,	8637.0
10,	37400.0,	6158.4,	11968.0
10,	31900.0,	6634.8,	11473.0
10,	102300.0,	42679.2,	36066.0
10,	62700.0,	17664.0,	55655.0
10,	138600.0,	131935.2,	110446.0
10,	40700.0,	-34.8,	14571.0
10,	69300.0,	48396.0,	49736.0
10,	68200.0,	4190.4,	23105.0
10,	19800.0,	0.0,	13797.0
10,	50600.0,	56550.0,	47624.0
10,	69300.0,	-1.2,	7858.0
10,	114400.0,	89700.0,	83562.0
10,	91300.0,	182.4,	9176.0
10,	40700.0,	4305.6,	25715.0
10,	39600.0,	25215.6,	29814.0
10,	99000.0,	40957.2,	37131.0
10,	57200.0,	14529.6,	24664.0
10,	55000.0,	20966.4,	17972.0
10,	23100.0,	4140.0,	11448.0
10,	184800.0,	209924.4,	180200.0
10,	74800.0,	28558.8,	69527.0
10,	61600.0,	56997.6,	47997.0
10,	154000.0,	17649.6,	15208.0
10,	121000.0,	25731.6,	28472.0
10,	165000.0,	12007.2,	61490.0
10,	180400.0,	28890.0,	64187.0
10,	111100.0,	4242.0,	6513.0
10,	103400.0,	44084.4,	51151.0
10,	72600.0,	38484.0,	32570.0
10,	111100.0,	0.0,	18437.0
10,	55000.0,	6069.6,	21544.0
10,	161700.0,	36333.6,	73513.0
10,	112200.0,	27194.4,	24917.0
10,	144100.0,	123213.6,	104391.0
10,	100100.0,	-1.2,	28746.0
10,	106700.0,	35824.8,	96073.0
10,	67100.0,	14257.2,	39861.0
10,	117700.0,	61747.2,	104100.0
10,	55000.0,	22269.6,	29594.0
10,	118800.0,	49240.8,	95536.0
10,	110000.0,	-2.4,	67676.0
10,	86900.0,	4465.2,	41558.0
10,	70400.0,	41290.8,	51621.0
10,	38500.0,	0.0,	35210.0
10,	57200.0,	11898.0,	44258.0
10,	55000.0,	13824.0,	24992.0
10,	99000.0,	40339.2,	89151.0
10,	42900.0,	44766.0,	39451.0
10,	36300.0,	21268.8,	32796.0
10,	183700.0,	207001.2,	178169.0
10,	40700.0,	45039.6,	38905.0
10,	67100.0,	35470.8,	47575.0
10,	34100.0,	-1370.4,	31619.0
10,	114400.0,	111727.2,	100479.0
10,	84700.0,	2948.4,	47442.0
10,	66000.0,	48414.0,	60865.0
10,	62700.0,	7803.6,	35189.0
10,	123200.0,	127846.8,	107039.0
10,	67100.0,	70957.2,	61396.0
10,	38500.0,	41998.8,	38352.0
10,	26400.0,	14509.2,	21585.0
10,	107800.0,	2176.8,	98264.0
10,	63800.0,	51741.6,	44237.0
10,	193600.0,	10698.0,	10851.0
10,	125400.0,	79893.6,	67078.0
10,	42900.0,	1297.2,	30815.0
10,	77000.0,	8042.4,	57680.0
10,	46200.0,	54134.4,	48356.0
10,	82500.0,	13498.8,	32390.0
10,	66000.0,	-10.8,	18191.0
10,	49500.0,	48249.6,	43795.0
10,	33000.0,	34947.6,	30446.0
10,	124300.0,	2.4,	10218.0
10,	40700.0,	26590.8,	35084.0
10,	330000.0,	234530.4,	204548.0
10,	82500.0,	0.0,	9409.0
10,	77000.0,	3402.0,	11494.0
10,	105600.0,	41834.4,	36377.0
10,	95700.0,	105087.6,	90947.0
10,	80300.0,	44738.4,	65431.0
10,	22000.0,	7069.2,	13973.0
10,	51700.0,	1273.2,	6455.0
10,	77000.0,	85786.8,	78187.0
10,	55000.0,	14445.6,	25660.0
10,	77000.0,	0.0,	3137.0
10,	56100.0,	60302.4,	50869.0
10,	22000.0,	12271.2,	21365.0
10,	107800.0,	20787.6,	47482.0
10,	41800.0,	44079.6,	43741.0
10,	122100.0,	4759.2,	30497.0
10,	49500.0,	31662.0,	26885.0
10,	40700.0,	26893.2,	39499.0
10,	100100.0,	360.0,	56759.0
10,	85800.0,	84360.0,	75824.0
10,	59400.0,	2466.0,	50768.0
10,	16500.0,	12385.2,	11759.0
10,	102300.0,	74949.6,	90029.0
10,	40700.0,	2881.2,	3875.0
10,	33000.0,	2277.6,	6873.0
10,	275000.0,	4101.6,	36093.0
10,	84700.0,	13212.0,	37847.0
10,	84700.0,	90494.4,	79848.0
10,	79200.0,	8623.2,	7686.0
10,	39600.0,	12138.0,	36500.0
10,	134200.0,	83025.6,	94749.0
10,	118800.0,	82926.0,	91527.0
10,	46200.0,	20281.2,	44182.0
10,	45100.0,	40809.6,	35820.0
10,	110000.0,	1521.6,	39103.0
10,	83600.0,	307.2,	11085.0
10,	79200.0,	41946.0,	35455.0
10,	16500.0,	5718.0,	15077.0
10,	127600.0,	56220.0,	47400.0
10,	95700.0,	68991.6,	61289.0
10,	48400.0,	37948.8,	35349.0
10,	37400.0,	38227.2,	34086.0
10,	13200.0,	11414.4,	11156.0
10,	158400.0,	1126.8,	6970.0
10,	63800.0,	638.4,	36225.0
10,	33000.0,	30992.4,	33515.0
10,	114400.0,	91060.8,	107556.0
10,	82500.0,	16772.4,	74374.0
10,	63800.0,	963.6,	28392.0
10,	68750.0,	49105.2,	62345.0
10,	41250.0,	20061.6,	17218.0
10,	20680.0,	151.2,	2887.0
10,	183700.0,	5431.2,	8358.0
10,	77000.0,	2642.4,	12832.0
10,	44000.0,	9981.6,	17429.0
10,	44000.0,	15770.4,	41586.0
10,	148500.0,	0.0,	1848.0
10,	108900.0,	-4.8,	97319.0
10,	39600.0,	43479.6,	36733.0
10,	64900.0,	15432.0,	16376.0
10,	114400.0,	60709.2,	84500.0
10,	28600.0,	13276.8,	18935.0
10,	60500.0,	21882.0,	18735.0
10,	55000.0,	42961.2,	51368.0
10,	113300.0,	6244.8,	29765.0
10,	41800.0,	471.6,	44875.0
10,	121000.0,	35802.0,	30475.0
10,	124300.0,	110774.4,	111556.0
10,	283800.0,	3472.8,	40470.0
10,	46200.0,	26989.2,	30804.0
10,	44000.0,	34393.2,	40045.0
10,	91300.0,	22771.2,	51623.0
10,	80300.0,	-2110.8,	7966.0
10,	45100.0,	8898.0,	18236.0
10,	22000.0,	43.2,	5500.0
10,	269500.0,	32395.2,	251668.0
10,	72600.0,	78166.8,	66866.0
10,	68750.0,	-3.6,	50477.0
10,	49500.0,	48776.4,	51442.0
10,	69300.0,	84460.8,	70883.0
10,	61600.0,	30898.8,	26249.0
10,	72600.0,	30222.0,	65852.0
10,	55000.0,	10740.0,	27499.0
10,	115500.0,	28222.8,	31870.0
10,	125400.0,	135097.2,	113080.0
10,	69300.0,	8596.8,	25587.0
10,	187000.0,	7953.6,	43451.0
10,	89100.0,	92748.0,	82705.0
10,	86900.0,	-34.8,	2570.0
10,	16500.0,	-3.6,	16337.0
10,	189200.0,	148339.2,	170332.0
10,	57200.0,	54337.2,	52775.0
10,	11000.0,	-1.2,	11916.0
10,	55000.0,	0.0,	600.0
10,	110000.0,	29314.8,	28863.0
10,	44000.0,	19450.8,	25993.0
10,	102300.0,	60852.0,	85659.0
10,	63800.0,	34048.8,	91514.0
10,	132000.0,	40628.4,	115788.0
10,	83600.0,	60961.2,	78987.0
10,	68200.0,	73618.8,	63626.0
10,	22000.0,	23646.0,	20890.0
10,	46200.0,	28434.0,	36816.0
10,	99000.0,	110742.0,	98710.0
10,	23100.0,	23151.6,	26498.0
10,	95700.0,	-157.2,	8713.0
10,	29700.0,	33400.8,	29555.0
10,	55000.0,	37051.2,	32068.0
10,	44000.0,	49766.4,	41972.0
10,	31900.0,	13419.6,	29473.0
10,	121000.0,	32205.6,	42082.0
10,	73700.0,	6098.4,	25710.0
10,	72600.0,	18066.0,	41836.0
10,	24200.0,	4260.0,	9028.0
10,	37400.0,	43875.6,	39293.0
10,	125400.0,	53167.2,	58112.0
10,	100100.0,	21394.8,	25891.0
10,	92400.0,	26947.2,	25525.0
10,	188100.0,	204000.0,	170499.0
10,	115500.0,	63327.6,	104942.0
10,	73700.0,	10902.0,	59469.0
10,	63800.0,	65998.8,	55498.0
10,	55000.0,	39374.4,	49803.0
10,	61600.0,	8181.6,	7465.0
10,	16500.0,	6193.2,	16989.0
10,	16500.0,	18988.8,	17619.0
10,	46200.0,	45651.6,	43237.0
10,	82500.0,	47428.8,	40024.0
10,	44000.0,	40836.0,	43736.0
10,	27500.0,	22582.8,	20865.0
10,	115500.0,	10432.8,	24515.0
10,	100100.0,	0.0,	13928.0
10,	119900.0,	108813.6,	106993.0
10,	223300.0,	0.0,	767.0
10,	88000.0,	33795.6,	38262.0
10,	73700.0,	7627.2,	62139.0
10,	58300.0,	48709.2,	53087.0
10,	102300.0,	99640.8,	94502.0
10,	82500.0,	6517.2,	36024.0
10,	75900.0,	65346.0,	65023.0
10,	70400.0,	25964.4,	72471.0
10,	33000.0,	23220.0,	25740.0
10,	45100.0,	45703.2,	41101.0
10,	33000.0,	-4.8,	828.0
10,	62700.0,	418.8,	55071.0
10,	42900.0,	36462.0,	38146.0
10,	66000.0,	6195.6,	7054.0
10,	50600.0,	61864.8,	52054.0
10,	11000.0,	0.0,	11023.0
10,	110000.0,	12920.4,	50318.0
10,	55000.0,	45949.2,	39476.0
10,	33000.0,	36842.4,	32291.0
10,	26400.0,	0.0,	22293.0
10,	176000.0,	4744.8,	30774.0
10,	129800.0,	125878.8,	121727.0
10,	103950.0,	10456.8,	46000.0
10,	28600.0,	435.6,	30195.0
10,	113300.0,	0.0,	31903.0
10,	74800.0,	175.2,	62061.0
10,	57200.0,	59565.6,	52028.0
10,	55000.0,	5872.8,	7303.0
10,	55000.0,	-1.2,	40144.0
10,	16500.0,	5014.8,	5354.0
10,	62700.0,	7094.4,	25114.0
10,	137500.0,	0.0,	9082.0
10,	121000.0,	52426.8,	48660.0
10,	119900.0,	1315.2,	49998.0
10,	86900.0,	5703.6,	11669.0
10,	310200.0,	24151.2,	21736.0
10,	45100.0,	13209.6,	32049.0
10,	82500.0,	11242.8,	42734.0
10,	72600.0,	20409.6,	50313.0
10,	41250.0,	0.0,	16117.0
10,	124300.0,	52736.4,	53604.0
10,	99000.0,	39346.8,	56950.0
10,	63800.0,	8917.2,	35306.0
10,	108900.0,	47114.4,	57982.0
10,	108900.0,	29092.8,	29039.0
10,	95700.0,	0.0,	10550.0
10,	137500.0,	111864.0,	132492.0
10,	113300.0,	-2.4,	65941.0
10,	94600.0,	5044.8,	60052.0
10,	66000.0,	72775.2,	62326.0
10,	114400.0,	33916.8,	48897.0
10,	57200.0,	33223.2,	41928.0
